nation,squad_size_top5,squad_avg_ga_per90,squad_top3_ga_per90,squad_star_gap,squad_avg_minutes,squad_avg_cards_per90,squad_fwd_ga_per90,squad_def_count
Hungary,6.0,0.12166666666666666,0.22333333333333336,0.20333333333333337,2367.5,0.13166666666666668,,4.0
Tunisia,6.0,0.135,0.26,0.25,1632.8333333333333,0.2866666666666667,0.0,3.0
Angola,6.0,0.17333333333333334,0.33,0.31333333333333335,1413.6666666666667,0.25,0.33,3.0
Iceland,5.0,0.38,0.5633333333333334,0.45833333333333337,2024.2,0.25,0.665,0.0
Chile,5.0,0.172,0.23,0.14500000000000002,1389.6,0.178,0.42000000000000004,3.0
Mexico,5.0,0.182,0.26,0.195,1515.6,0.142,0.295,1.0
Australia,5.0,0.18,0.29000000000000004,0.275,1836.8,0.21200000000000002,0.405,1.0
Romania,5.0,0.026000000000000002,0.043333333333333335,0.043333333333333335,1729.0,0.194,,2.0
Burkina Faso,5.0,0.21800000000000003,0.3166666666666667,0.2466666666666667,2149.2,0.15,0.14,1.0
Egypt,4.0,0.4525,0.5566666666666666,0.41666666666666663,1485.0,0.1375,0.41,0.0
Northern Ireland,4.0,0.095,0.10000000000000002,0.020000000000000018,1727.5,0.2325,0.11,3.0
Ecuador,4.0,0.115,0.15333333333333335,0.15333333333333335,1883.75,0.22,,2.0
Haiti,4.0,0.1975,0.24333333333333337,0.18333333333333338,1493.75,0.27749999999999997,0.22,1.0
Paraguay,4.0,0.235,0.2933333333333333,0.23333333333333328,1936.5,0.21500000000000002,0.2933333333333333,1.0
Venezuela,4.0,0.0925,0.12333333333333334,0.12333333333333334,1729.0,0.26999999999999996,0.17,1.0
Indonesia,4.0,0.045,0.06,0.06,2343.75,0.15500000000000003,,3.0
Russia,3.0,0.18000000000000002,0.18000000000000002,,1152.3333333333333,0.20333333333333334,,0.0
Slovenia,3.0,0.26666666666666666,0.26666666666666666,,2077.6666666666665,0.09999999999999999,0.65,1.0
Togo,3.0,0.06666666666666667,0.06666666666666667,,1679.0,0.26666666666666666,,2.0
Zimbabwe,3.0,0.24666666666666662,0.24666666666666662,,992.3333333333334,0.15,0.2,1.0
Libya,3.0,0.03666666666666667,0.03666666666666667,,1022.0,0.48,,2.0
Gabon,3.0,0.22,0.22,,1674.6666666666667,0.13333333333333333,0.66,2.0
Montenegro,3.0,0.4366666666666667,0.4366666666666667,,1777.0,0.15666666666666665,0.75,1.0
Gambia,3.0,0.24333333333333332,0.24333333333333332,,1429.6666666666667,0.22,0.27,0.0
Mauritania,3.0,0.02,0.02,,1812.6666666666667,0.07666666666666666,,2.0
Guinea-Bissau,3.0,0.36000000000000004,0.36000000000000004,,931.0,0.17333333333333334,0.54,1.0
Central African Republic,2.0,0.2,0.2,,627.5,0.23,0.4,1.0
Equatorial Guinea,2.0,0.11,0.11,,2663.5,0.14500000000000002,,2.0
Israel,2.0,0.28500000000000003,0.28500000000000003,,932.5,0.05,0.28500000000000003,0.0
Jamaica,2.0,0.135,0.135,,893.5,0.17,,1.0
Finland,2.0,0.0,0.0,,944.5,0.13,,0.0
Guadeloupe,2.0,0.315,0.315,,1539.5,0.125,0.44,0.0
Bulgaria,2.0,0.1,0.1,,966.5,0.32,,1.0
Benin,2.0,0.38,0.38,,1070.0,0.125,0.38,0.0
North Macedonia,2.0,0.1,0.1,,1791.5,0.1,0.2,0.0
Niger,2.0,0.165,0.165,,1128.5,0.305,,1.0
Uzbekistan,1.0,0.0,0.0,,1432.0,0.13,,1.0
Comoros,1.0,0.06,0.06,,1605.0,0.0,,1.0
Dominican Republic,1.0,0.11,0.11,,827.0,0.22,,1.0
Armenia,1.0,0.29000000000000004,0.29000000000000004,,1560.0,0.29,,0.0
Zambia,1.0,0.47,0.47,,1752.0,0.31,0.47,0.0
Estonia,1.0,0.05,0.05,,1932.0,0.14,,1.0
Tanzania,1.0,0.18,0.18,,1542.0,0.23,0.18,0.0
Faroe Islands,1.0,0.0,0.0,,1319.0,0.2,,1.0
Mozambique,1.0,0.05,0.05,,1966.0,0.32,,1.0
Suriname,1.0,0.58,0.58,,946.0,0.19,0.58,0.0
French Guiana,1.0,0.0,0.0,,2460.0,0.04,,0.0
South Africa,1.0,0.33,0.33,,1371.0,0.26,0.33,0.0
New Zealand,1.0,0.3,0.3,,901.0,0.0,0.3,0.0
Sierra Leone,1.0,0.0,0.0,,1958.0,0.32,,1.0
Honduras,1.0,0.36,0.36,,1532.0,0.47,,0.0
Saudi Arabia,1.0,0.4,0.4,,1352.0,0.27,,0.0
Lithuania,1.0,0.05,0.05,,1756.0,0.26,,0.0
Luxembourg,1.0,0.35,0.35,,2069.0,0.17,0.35,0.0
Madagascar,1.0,0.1,0.1,,2791.0,0.13,,1.0
Malaysia,1.0,0.0,0.0,,793.0,0.34,,1.0
Panama,1.0,0.27,0.27,,989.0,0.36,,1.0
Martinique,1.0,0.0,0.0,,598.0,0.0,,0.0
Jordan,1.0,0.48,0.48,,2212.0,0.16,0.48,0.0
